Item Name,Package Weight,Package Length,Package Height,Package Width,SKU
MKRR20,0.02,2.75,1.00,1.00,MKRR20
MKRR30,0.02,2.75,1.00,1.00,MKRR30
MKRTOOL,0.04,3.50,1.25,1.25,MKRTOOL
MNB,0.006,1.063,0.375,0.50,MNB
MNC,0.006,1.00,0.313,0.50,MNC
MND1B,0.007,1.125,0.75,0.875,MND1B
MND1T,0.007,1.125,0.625,0.938,MND1T
MND34B,0.007,1.125,0.75,0.875,MND34B
MND34T,0.007,1.125,0.188,0.75,MND34T
MNELGRN,0.009,1.625,0.313,1.125,MNELGRN
MNRED,0.006,0.75,0.375,0.50,MNRED
MNTA,0.066,2.625,1.625,1.625,MNTA
MNW,0.006,1.063,0.438,0.563,MNW
MPR10-360,0.03,2.75,1.00,1.00,MPR10-360
MPR10-90,0.03,2.75,1.00,1.00,MPR10-90
MPR20-210,0.03,2.75,1.00,1.00,MPR20-210
MPR20-360,0.03,2.75,1.00,1.00,MPR20-360
MPR20-90,0.03,2.75,1.00,1.00,MPR20-90
MPR30-210,0.03,2.75,1.00,1.00,MPR30-210
MPR30-360,0.03,2.75,1.00,1.00,MPR30-360
MPR30-90,0.03,2.75,1.00,1.00,MPR30-90
MPRCOR,0.03,2.75,1.00,1.00,MPRCOR
MPRLEFT,0.03,2.75,1.00,1.00,MPRLEFT
MPRRIGHT,0.03,2.75,1.00,1.00,MPRRIGHT
MPRSIDE,0.03,2.75,1.00,1.00,MPRSIDE
MPRTOOL,0.02,3.50,0.75,1.00,MPRTOOL
MRSB,0.01,5.00,0.40,0.50,MRSB
MRSG,0.011,5.00,0.40,0.50,MRSG
MRSO,0.011,5.00,0.40,0.50,MRSO
MSBL180,0.001,0.75,0.125,0.25,MSBL180
MSBL300,0.001,0.75,0.125,0.313,MSBL300
MSBL90,0.001,0.75,0.125,0.25,MSBL90
MSBLSTR,0.001,0.625,0.125,0.313,MSBLSTR
MSBU180,0.001,0.813,0.188,0.313,MSBU180
MSBU300,0.001,0.625,0.125,0.313,MSBU300
MSBU90,0.001,0.813,0.188,0.25,MSBU90
MSBUSTR,0.001,0.688,0.188,0.313,MSBUSTR
MSGR180,0.001,0.625,0.125,0.313,MSGR180
MSGR300,0.001,5.50,0.90,1.50,MSGR300
MSGR90,0.001,0.88,0.188,0.25,MSGR90
MSGRSTR,0.001,0.563,0.188,0.313,MSGRSTR
MSNBLA,0.041,4.75,0.875,2.00,MSNBLA
MSNBLAT,0.082,16.00,0.625,2.00,MSNBLAT
MSNBLU,0.042,4.75,0.875,2.00,MSNBLU
MSNBLUT,0.076,15.375,0.75,2.00,MSNBLUT
MSNDIA,0.001,0.60,0.10,0.40,MSNDIA
MSNP,0.042,4.70,0.85,2.00,MSNP
MSNPT,0.081,15.375,0.75,2.00,MSNPT
MSNSBLD,0.002,0.875,0.313,0.75,MSNSBLD
MSNSTK,0.092,12.875,1.00,2.00,MSNSTK
MSPB-100,1.00,0.00,0.00,0.00,MSPB-100
MSPB-5,0.05,4.70,0.67,1.00,MSPB-5
MSPS-100,1.20,9.00,3.50,6.75,MSPS-100
MSPS-5,0.06,5.80,1.25,3.25,MSPS-5
MSPT-100,0.60,5.30,1.40,4.90,MSPT-100
MSPT-5,0.03,2.40,0.60,1.30,MSPT-5
MSRD180,0.001,0.625,0.125,0.313,MSRD180
MSRD300,0.001,0.625,0.125,0.313,MSRD300
MSRD90,0.001,0.75,0.188,0.313,MSRD90
MSRDSTR,0.001,0.563,0.188,0.313,MSRDSTR
MSTBS,0.001,0.00,0.00,0.00,MSTBS
MSWBL,0.009,1.50,0.25,0.938,MSWBL
MSWBRN,0.009,1.438,0.25,0.938,MSWBRN
MSWGR,0.009,1.375,0.188,0.938,MSWGR
MSWLB,0.009,1.50,0.75,0.875,MSWLB
MTFB,0.005,0.813,0.313,0.688,MTFB
MTFBPR,0.006,1.875,0.75,0.75,MTFBPR
MTFR,0.005,0.813,0.188,0.688,MTFR
MTHSB-100,1.00,8.25,1.40,5.00,MTHSB-100
MTHSB-20,0.20,5.00,1.20,2.30,MTHSB-20
MTHSB-5,0.05,4.80,0.40,1.50,MTHSB-5
MTHSG-100,1.00,6.80,1.90,4.85,MTHSG-100
MTHSG-20,0.20,5.00,1.25,2.30,MTHSG-20
MTHSG-5,0.05,4.90,0.45,1.67,MTHSG-5
MTHSO-100,1.00,5.00,2.78,4.70,MTHSO-100
MTHSO-20,0.20,5.00,1.25,2.10,MTHSO-20
MTHSO-5,0.05,5.00,0.37,1.60,MTHSO-5
MUKOUTLG,24.00,0.00,0.00,0.00,MUKOUTLG
MV-5,0.03,5.00,0.65,0.90,MV-5
MVRS-100,0.90,7.30,2.50,6.25,MVRS-100
MVRS-5,0.045,3.30,1.00,2.10,MVRS-5
MWANTI,0.10,2.90,2.10,1.75,MWANTI
MWIBG,0.023,1.50,2.125,1.375,MWIBG
MWIG,0.023,2.125,1.375,1.375,MWIG
MWL,0.023,1.50,2.125,1.375,MWL
MWLB,0.023,1.50,2.125,1.375,MWLB
MWRA,0.14,37.00,1.25,2.40,MWRA
NHRL-BKS1,0.00,0.00,0.00,0.00,NHRL-BKS1
NHRL-BRP1,0.00,0.00,0.00,0.00,NHRL-BRP1
NHRL-BRP2,0.00,0.00,0.00,0.00,NHRL-BRP2
NHRL-BRS1,0.00,0.00,0.00,0.00,NHRL-BRS1
NHS-BERRY,0.75,0.00,0.00,0.00,NHS-BERRY
NHS-BLEND,0.75,0.00,0.00,0.00,NHS-BLEND
NHS-ORANGE,0.00,0.00,0.00,0.00,NHS-ORANGE
NHS-PEANUT,0.00,0.00,0.00,0.00,NHS-PEANUT
P-IPS12-100,20.50,19.50,5.50,18.50,P-IPS12-100
P-IPS12-50,13.60,0.00,0.00,0.00,P-IPS12-50
P-IPS34-100,20.50,21.00,6.25,21.00,P-IPS34-100
P1121B,0.12,1.50,2.00,2.00,P1121B
P1121RT,0.309,4.50,2.50,3.50,P1121RT
P1121STB,0.106,2.20,1.60,2.20,P1121STB
P1121TTB,0.086,2.20,1.30,2.20,P1121TTB
P1122N,0.098,2.00,1.80,1.80,P1122N
P11234B,0.121,1.60,2.10,2.10,P11234B
P11234RT,0.267,4.10,2.30,3.30,P11234RT
P11234STB,0.161,1.50,2.20,2.20,P11234STB
P11234STT,0.294,4.10,2.20,3.30,P11234STT
P11234TTB,0.161,1.25,2.25,2.25,P11234TTB
P11245,0.23,4.00,2.30,3.30,P11245
P11290,0.273,5.00,2.20,3.70,P11290
P112B,0.054,1.30,1.70,1.70,P112B
P112BVS,0.88,5.50,2.90,4.60,P112BVS
P112BVT,0.986,5.00,3.00,4.30,P112BVT
P112C,0.157,2.80,2.20,2.20,P112C
P112CA,0.129,1.80,2.30,2.30,P112CA
